INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003,2015,9,8,8,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,,9.0,98.0,,67,4.0,0.0,1.0,,,,,7.0,1.0,25177.0
3003,2015,8,6,7,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,0.0,,8.0,5.0,,32,4.0,0.0,1.0,,,,,1.0,2.0,2474.0
3003,2015,8,8,9,9.0,8.0,8.0,9.0,9.0,9.0,4.0,4.0,0.0,,9.0,15.0,,49,4.0,0.0,1.0,,,,,99.0,2.0,48374.0
3003,2015,8,8,8,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,7.0,26.0,,32,5.0,0.0,4.0,,,,,5.0,2.0,92614.0
3003,2015,9,8,8,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,0.0,,8.0,10.0,,24,3.0,0.0,2.0,,,,,4.0,1.0,2125.0
3003,2015,5,5,5,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,0.0,,4.0,,101.0,44,4.0,0.0,1.0,,,,,6.0,1.0,19081.0
3003,2015,7,6,7,7.0,7.0,6.0,7.0,7.0,7.0,9.0,7.0,0.0,,8.0,26.0,,37,5.0,0.0,1.0,,,,,7.0,2.0,25304.0
3003,2015,7,6,5,7.0,8.0,3.0,8.0,8.0,9.0,7.0,7.0,0.0,,7.0,98.0,,24,4.0,0.0,1.0,,,,,1.0,2.0,12047.0
3003,2015,8,7,5,8.0,8.0,4.0,7.0,7.0,4.0,7.0,6.0,0.0,,8.0,26.0,,33,4.0,0.0,1.0,,,,,4.0,2.0,53403.0
3003,2015,9,8,8,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,,9.0,26.0,,34,5.0,0.0,1.0,,,,,4.0,2.0,11228.0
3003,2015,7,5,5,8.0,8.0,5.0,8.0,8.0,3.0,7.0,7.0,0.0,,8.0,15.0,,37,4.0,0.0,1.0,,,,,7.0,1.0,61350.0
3003,2015,6,6,6,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,6.0,98.0,,34,4.0,0.0,2.0,,,,,5.0,1.0,75070.0
3003,2015,10,8,98,9.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,0.0,,98.0,,,61,5.0,0.0,1.0,,,,,5.0,1.0,33305.0
3003,2015,9,7,5,5.0,6.0,5.0,7.0,8.0,98.0,8.0,9.0,0.0,,6.0,15.0,,30,5.0,0.0,1.0,,,,,6.0,1.0,17070.0
3003,2015,6,6,6,8.0,7.0,4.0,7.0,7.0,6.0,6.0,6.0,0.0,,8.0,20.0,,57,4.0,0.0,1.0,,,,,7.0,1.0,30101.0
3003,2015,10,8,9,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,0.0,,9.0,5.0,,34,5.0,0.0,6.0,,,,,5.0,1.0,76065.0
3003,2015,9,9,9,8.0,8.0,5.0,7.0,7.0,4.0,9.0,10.0,0.0,,9.0,5.0,,33,5.0,0.0,1.0,,,,,7.0,1.0,60515.0
3003,2015,6,4,6,9.0,8.0,9.0,8.0,9.0,4.0,5.0,6.0,1.0,6.0,3.0,,26.0,58,4.0,1.0,1.0,,,,,7.0,1.0,8551.0
3003,2015,8,6,5,9.0,9.0,9.0,9.0,7.0,9.0,7.0,8.0,0.0,,98.0,,,37,4.0,0.0,1.0,,,,,6.0,2.0,2474.0
3003,2015,8,8,6,7.0,6.0,4.0,7.0,7.0,8.0,8.0,8.0,0.0,,7.0,15.0,,22,3.0,0.0,1.0,,,,,2.0,2.0,19121.0
3003,2015,4,7,8,7.0,5.0,8.0,6.0,7.0,3.0,5.0,9.0,0.0,,4.0,,24.0,33,4.0,0.0,1.0,,,,,4.0,1.0,46256.0
3003,2015,10,8,8,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,0.0,,10.0,101.0,,43,4.0,0.0,1.0,,,,,7.0,2.0,1331.0
3003,2015,5,3,1,5.0,8.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,10.0,0.0,,30,5.0,0.0,2.0,,,,,4.0,1.0,37931.0
3003,2015,9,9,8,10.0,9.0,5.0,9.0,8.0,5.0,8.0,8.0,0.0,,9.0,98.0,,33,4.0,0.0,1.0,,,,,7.0,1.0,13088.0
3003,2015,5,5,6,8.0,8.0,8.0,7.0,9.0,10.0,5.0,6.0,0.0,,7.0,15.0,,65,4.0,0.0,1.0,,,,,6.0,1.0,53108.0
3003,2015,8,7,7,9.0,9.0,9.0,8.0,9.0,8.0,7.0,7.0,0.0,,8.0,20.0,,54,5.0,0.0,1.0,,,,,7.0,1.0,37922.0
3003,2015,8,6,1,7.0,7.0,4.0,7.0,7.0,9.0,7.0,7.0,0.0,,7.0,1.0,,50,5.0,0.0,1.0,,,,,7.0,1.0,63304.0
3003,2015,1,1,1,8.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,101.0,39,4.0,0.0,1.0,,,,,6.0,1.0,63010.0
3003,2015,10,10,7,6.0,6.0,7.0,9.0,9.0,6.0,10.0,10.0,0.0,,9.0,5.0,,23,3.0,0.0,1.0,,,,,2.0,2.0,47906.0
3003,2015,9,9,7,8.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,0.0,,9.0,98.0,,45,4.0,0.0,1.0,,,,,7.0,2.0,14085.0
3003,2015,6,7,4,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,,6.0,26.0,,48,4.0,0.0,1.0,,,,,7.0,2.0,14618.0
3003,2015,99,98,1,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,98.0,,8.0,26.0,,23,4.0,1.0,4.0,,,,,5.0,2.0,59044.0
3003,2015,4,1,1,4.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,0.0,,5.0,,25.0,40,4.0,0.0,4.0,,,,,7.0,1.0,94804.0
3003,2015,6,5,5,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,1.0,4.0,7.0,15.0,,35,4.0,0.0,1.0,,,,,7.0,2.0,75035.0
3003,2015,10,5,8,8.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,0.0,,10.0,98.0,,19,3.0,0.0,1.0,,,,,3.0,2.0,99336.0
3003,2015,4,3,3,5.0,7.0,2.0,5.0,5.0,4.0,4.0,4.0,0.0,,8.0,5.0,,39,5.0,0.0,1.0,,,,,7.0,1.0,2155.0
3003,2015,4,3,7,5.0,4.0,7.0,4.0,4.0,9.0,4.0,7.0,0.0,,4.0,,26.0,27,3.0,0.0,2.0,,,,,3.0,2.0,32923.0
3003,2015,6,6,4,7.0,5.0,3.0,7.0,6.0,6.0,5.0,7.0,0.0,,6.0,20.0,,39,4.0,0.0,1.0,,,,,7.0,1.0,97405.0
