INDUSTRY,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,INCOME,GENDER,ZIPCODE
Commercial Airlines,High,Medium,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,2,1
Commercial Airlines,High,High,High,Very high,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,High,0,4,<20,2,2
Commercial Airlines,High,High,High,High,Very well,High,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,2,<20,1,1
Commercial Airlines,High,Medium,High,High,Well,Medium,High,Well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,High,0,1,<20,2,2
Commercial Airlines,High,High,Medium,High,Well,Low,High,Well,Low,High,Medium,No,Unknown,High,High,Unknown,Young,Medium,0,1,<20,2,1
Commercial Airlines,High,High,High,Very high,Well,High,Very high,Well,High,High,High,No,Unknown,High,High,Unknown,Young,High,0,1,<20,2,1
Commercial Airlines,High,Medium,Medium,High,Well,Medium,High,Well,Low,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,Medium,Medium,Medium,High,Well,Low,High,Well,Medium,Medium,Medium,No,Unknown,High,High,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Low,Unknown,Young,High,0,6,<20,1,2
Commercial Airlines,High,High,High,High,Well,Medium,High,Well,Low,High,High,No,Unknown,High,Low,Unknown,Young,High,0,1,<20,1,2
Commercial Airlines,Medium,Low,Medium,Very high,Well,High,High,Very well,Low,Medium,Medium,Yes,Medium,Low,Unknown,High,Senior,Medium,1,1,<20,1,3
Commercial Airlines,High,High,Medium,High,Adequately,Low,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,1
Commercial Airlines,Low,High,High,High,Adequately,High,Moderate,Well,Low,Medium,High,No,Unknown,Low,Unknown,High,Young,Medium,0,1,<20,1,2
Commercial Airlines,Medium,Low,Low,Moderate,Well,Low,Moderate,Adequately,Low,Medium,Medium,Yes,Low,High,Low,Unknown,Young,High,0,2,<20,1,2
Commercial Airlines,Medium,Medium,Medium,High,Well,High,High,Very well,High,Medium,Medium,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,High,Very well,High,High,High,No,Unknown,High,High,Unknown,Senior,High,0,1,<20,1,2
Commercial Airlines,High,Medium,Low,High,Well,Low,High,Well,High,High,High,No,Unknown,High,Low,Unknown,Middle-aged,High,0,1,<20,1,2
Commercial Airlines,High,High,High,Moderate,Adequately,High,Very high,Very well,Medium,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,Medium,High,Low,High,Well,High,High,Well,High,High,High,No,Unknown,Medium,High,Unknown,Middle-aged,Medium,0,1,<20,2,2
Commercial Airlines,Low,Low,Low,Low,Adequately,Medium,Moderate,Somewhat well,Medium,Medium,Medium,No,Unknown,Medium,Unknown,High,Middle-aged,Medium,0,4,<20,1,1
Commercial Airlines,Medium,Medium,Medium,High,Well,Medium,Moderate,Adequately,Medium,Medium,Medium,Yes,Low,High,Medium,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,Low,Low,Low,Moderate,Well,Low,Moderate,Adequately,Low,Low,Low,No,Unknown,High,Low,Unknown,Middle-aged,High,0,1,<20,1,1
Commercial Airlines,Low,Low,High,Moderate,Somewhat well,High,Low,Somewhat well,High,Low,High,No,Unknown,Low,Unknown,High,Young,Medium,0,2,<20,2,Unknown
Commercial Airlines,Medium,Medium,Low,High,Adequately,Low,High,Adequately,Medium,Medium,High,No,Unknown,Medium,High,Unknown,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,Medium,Medium,Low,Moderate,Adequately,High,High,Well,High,Low,Medium,No,Unknown,Low,Unknown,High,Young,High,0,4,<20,2,2
Commercial Airlines,Medium,Medium,Low,High,Adequately,High,High,Adequately,Medium,Low,Low,Yes,Low,Medium,Low,Unknown,Middle-aged,High,1,1,<20,1,2
Commercial Airlines,Low,Low,Low,Very low,Somewhat well,Low,Moderate,Not well,Low,Low,Low,No,Unknown,Medium,Unknown,Low,Middle-aged,High,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Very well,High,High,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,Yes,High,High,Medium,Unknown,Middle-aged,High,0,1,<20,2,1
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,Low,Unknown,Middle-aged,High,0,1,<20,1,2
Commercial Airlines,Medium,Medium,Medium,High,Adequately,Medium,High,Adequately,Medium,Medium,Medium,No,Unknown,Medium,High,Unknown,Middle-aged,Medium,1,1,<20,2,1
Commercial Airlines,High,Low,High,High,Well,Medium,High,Well,Medium,High,High,Yes,Low,Low,Unknown,High,Middle-aged,Low,0,2,<20,1,2
Commercial Airlines,High,Medium,High,High,Adequately,Medium,Moderate,Adequately,High,High,High,No,Unknown,Medium,High,Unknown,Middle-aged,Medium,1,1,<20,2,1
Commercial Airlines,Medium,Low,Low,High,Very well,Low,High,Adequately,Low,Low,Low,Yes,Low,Low,Unknown,High,Young,High,0,1,<20,1,2
Commercial Airlines,High,High,Medium,High,Well,High,High,Well,High,High,High,Yes,Low,Medium,High,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,Medium,Medium,Low,Moderate,Very well,Medium,Moderate,Adequately,Medium,Medium,Medium,No,Unknown,Medium,Low,Unknown,Young,Medium,0,1,<20,2,Unknown
Commercial Airlines,Medium,Medium,Medium,Moderate,Well,High,Moderate,Very well,High,Low,Medium,No,Unknown,Medium,Unknown,High,Young,High,0,1,<20,2,1
Commercial Airlines,High,Medium,High,High,Very well,High,Moderate,Adequately,High,High,Medium,No,Unknown,Medium,Medium,Unknown,Young,High,1,1,<20,2,1
Commercial Airlines,Medium,Medium,Low,High,Well,Medium,High,Adequately,Medium,Medium,Medium,Yes,Medium,High,Medium,Unknown,Young,Medium,0,1,<20,2,1
Commercial Airlines,High,High,High,High,Very well,Medium,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,1,<20,2,3
Commercial Airlines,Medium,Medium,Low,High,Adequately,Low,High,Adequately,Low,High,High,No,Unknown,Low,Unknown,High,Senior,Medium,0,1,<20,1,2
Commercial Airlines,Low,Medium,Low,High,Well,High,High,Well,High,Low,Low,No,Unknown,Medium,Unknown,High,Young,High,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Well,Low,High,Adequately,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,4,<20,2,2
Commercial Airlines,Medium,Medium,Medium,Moderate,Adequately,High,Moderate,Well,Medium,High,Medium,No,Unknown,Medium,Unknown,High,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Low,Well,Medium,Moderate,Adequately,High,High,High,No,Unknown,High,Low,Unknown,Young,High,0,1,<20,1,3
Commercial Airlines,High,High,Low,High,Very well,Low,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,1
Commercial Airlines,High,High,Medium,Very high,Well,Medium,High,Well,Medium,Medium,Medium,No,Unknown,High,Medium,Unknown,Middle-aged,Low,0,1,<20,1,2
