INDUSTRY,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,INCOME,GENDER,ZIPCODE
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Well,Often,High,Well,Very often,Good,Good,No,NoComp,Likely,Low,Unknown,Young,College graduate,0,1,<20,2,1
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Well,Often,High,Well,Often,Good,Good,No,NoComp,Likely,High,Unknown,Young,Post graduate,0,4,<20,2,2
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,High,Very well,Very often,High,Well,Often,Very good,Very good,No,NoComp,Likely,Medium,Unknown,Young,associate degree,0,2,<20,1,1
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Well,Sometimes,High,Well,Often,Very good,Good,No,NoComp,Likely,High,Unknown,Middle-aged,Post graduate,0,1,<20,2,2
Commercial Airlines,Satisfied,Exceeded expectations,Moderately close,High,Well,Rarely,High,Well,Rarely,Good,Average,No,NoComp,Likely,High,Unknown,Young,College graduate,0,1,<20,2,1
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,Very high,Well,Often,Very high,Well,Often,Good,Good,No,NoComp,Very likely,High,Unknown,Young,Post graduate,0,1,<20,2,1
Commercial Airlines,Satisfied,Met expectations,Moderately close,High,Well,Sometimes,High,Well,Rarely,Good,Good,No,NoComp,Likely,Medium,Unknown,Middle-aged,College graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Met expectations,Moderately close,High,Well,Rarely,High,Well,Sometimes,Average,Average,No,NoComp,Likely,High,Unknown,Senior,College graduate,0,1,<20,1,2
Commercial Airlines,Very satisfied,Exceeded expectations,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,Low,Unknown,Young,Post graduate,0,6,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,High,Well,Sometimes,High,Well,Rarely,Very good,Very good,No,NoComp,Very likely,Low,Unknown,Young,Post graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Slightly better,Moderately close,Very high,Well,Very often,High,Very well,Rarely,Average,Average,Yes,Handled adequately,Unlikely,Unknown,High,Senior,College graduate,1,1,<20,1,3
Commercial Airlines,Satisfied,Exceeded expectations,Moderately close,High,Adequately,Rarely,High,Well,Often,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,associate degree,0,1,<20,2,1
Commercial Airlines,Dissatisfied,Exceeded expectations,Close to ideal,High,Adequately,Often,Moderate,Well,Rarely,Average,Very good,No,NoComp,Unlikely,Unknown,High,Young,College graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Slightly better,Far from ideal,Moderate,Well,Very rarely,Moderate,Adequately,Very rarely,Average,Average,Yes,Handled poorly,Very likely,Low,Unknown,Young,Post graduate,0,2,<20,1,2
Commercial Airlines,Unsure,Met expectations,Moderately close,High,Well,Often,High,Very well,Very often,Average,Average,No,NoComp,Likely,Medium,Unknown,Senior,College graduate,0,1,<20,1,2
